商品链接,商品编号,商品标题,店铺名称,商品价格,品牌,商品名称,商品编号,CPU型号,运行内存,机身颜色,三防标准,屏幕分辨率,充电功率,泰尔电竞评级,支持IPv6,屏幕材质,后摄主像素,机身内存,机身色系,风格,特征特质,主体.CCC强制性认证,主体.电信设备进网许可证,主体.上市日期,主体.机型,主体.入网型号,基本信息.机身颜色,基本信息.机身重量,基本信息.机身尺寸,存储.存储卡,存储.运行内存,存储.机身内存,屏幕.屏幕刷新率,屏幕.屏幕尺寸,屏幕.屏幕特色,电池信息.无线充电,电池信息.电池容量,电池信息.充电功率,操作系统.系统,网络支持.5G网络,网络支持.4G网络,网络支持.SIM卡类型,网络支持.卫星网络,网络支持.双卡机类型,网络支持.SIM卡数量,数据接口.充电接口,手机特性.生物识别,摄像头.前摄主像素,摄像头.拍照特色,摄像头.后摄2-超广角像素,摄像头.后摄3-tele像素,SkuId,ProductId,ShowCount,ShowCountStr,CommentCountStr,CommentCount,AverageScore,DefaultGoodCountStr,DefaultGoodCount,GoodCountStr,GoodCount,AfterCount,OneYear,AfterCountStr,VideoCount,VideoCountStr,GoodRate,GoodRateShow,GoodRateStyle,GeneralCountStr,GeneralCount,GeneralRate,GeneralRateShow,GeneralRateStyle,PoorCountStr,PoorCount,SensitiveBook,PoorRate,PoorRateShow,PoorRateStyle
https://item.jd.com/100057334060.html,100057334060,荣耀X50 第一代骁龙6芯片 1.5K超清护眼硬核曲屏 5800mAh超耐久大电池 5G AI手机 8GB+128GB 雨后初晴,荣耀京东自营旗舰店,1229.0,荣耀（HONOR）,荣耀X50,100057334060,第一代骁龙6,8GB,雨后初晴,IP53,1.5K,26-49W,否,支持IPv6,OLED曲面屏,以官网信息为准,128GB,,,,是,是,2023-07-05,荣耀 X50,ALI-AN00,雨后初晴,185g,宽75.5mm；长163.6mm；厚7.98mm,不支持,8GB,128GB,120Hz,6.78英寸,德国莱茵护眼；高频PWM调光,不支持,5800mAh(typ),35W,Android,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,不支持,双卡双待,2个,Type-C,屏幕指纹,800万像素,无,普通(以官网信息为准),无,100057334060,100057334060,0,2.3万+,100万+,0,5,50万+,0,13万+,0,0,0,1800+,0,1300+,0.97,97,145,1600+,0,0.011,1,2,2100+,0,0,0.019,2,3
https://item.jd.com/100080686409.html,100080686409,荣耀X50 GT 骁龙8+芯片 苍穹散热系统 灵龙触控引擎 5800mAh电池 1.5K抗摔护眼屏 5G 12+256 幻夜黑,荣耀京东自营旗舰店,1799.0,荣耀（HONOR）,荣耀X50 GT,100080686409,第一代骁龙8+,12GB,幻夜黑,IP53,1.5K,26-49W,,,OLED曲面屏,以官网信息为准,256GB,黑色系,,,是,是,2024-01-04,荣耀 X50 GT,ALP-AN00,幻夜黑,192g,宽75.5mm；长163.6mm；厚7.98mm,不支持,12GB,256GB,120Hz,6.78英寸,,不支持,5800mAh(typ),35W,MagicOS,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,,双卡双待,2个,Type-C,屏幕指纹,800万像素,,无,无,100080686409,100080686409,0,4700+,10万+,0,5,10万+,0,2.4万+,0,0,0,300+,0,200+,0.96,96,144,400+,0,0.015,2,2,400+,0,0,0.025,2,4
https://item.jd.com/100067253548.html,100067253548,荣耀X40 GT竞速版 骁龙888冷酷旗舰芯 满血66W快充 超大内存 5G手机 12GB+512GB 竞速银,荣耀京东自营旗舰店,1999.0,荣耀（HONOR）,荣耀X40 GT 竞速版,100067253548,骁龙888,12GB,竞速银,不支持防水,FHD+,50-79W,,,LCD,5000万像素,512GB,银色系,大气，科技，ins风,,是,是,2023-09-21,荣耀 X40 GT竞速版,ADT-AN00,竞速银,199.5g,宽75.8mm；长166.1mm；厚8.45mm,不支持,12GB,512GB,144Hz,6.81英寸,德国莱茵护眼,不支持,4800mAh(typ),66W,Android,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,,双卡双待,2个,Type-C,侧面指纹,1600万像素,,无,无,100067253548,100067253548,0,3600+,10万+,0,5,5万+,0,1.7万+,0,0,0,300+,0,100+,0.96,96,144,200+,0,0.016,2,2,300+,0,0,0.024,2,4
https://item.jd.com/10083370853473.html,10083370853473,"爱心东东	
荣耀X50 新品5G手机 5800mAh大电池长续航 雨后初晴 8+128GB【90天碎屏险+2年延保】",荣耀终端专卖店,1319.0,荣耀（HONOR）,荣耀（HONOR）X50,10083370853473,第一代骁龙6,8GB,雨后初晴,不支持防水,1.5K,26-49W,否,支持IPv6,OLED曲面屏,以官网信息为准,128GB,混合色系,大气,轻薄,是,是,,荣耀 X50,ALI-AN00,雨后初晴,185g,宽75.5mm；长163.6mm；厚7.98mm,不支持,,,120Hz,6.78英寸,德国莱茵护眼；高频PWM调光,不支持,5800mAh(typ),35W,Android,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,不支持,双卡双待,2个,Type-C,屏幕指纹,800万像素,前置双摄；蔡司影像,普通(以官网信息为准),无,10083370853473,10083370853473,0,1500+,2万+,0,5,2万+,0,3300+,0,0,0,100+,0,100+,0.99,99,148,3,0,0.0,0,0,4,0,0,0.01,1,2
https://item.jd.com/100057978010.html,100057978010,荣耀X50 第一代骁龙6芯片 1.5K超清护眼硬核曲屏 5800mAh超耐久大电池 5G手机 12GB+256GB 燃橙色,京东手机自营旗舰店,1438.0,荣耀（HONOR）,荣耀X50,100057978010,第一代骁龙6,12GB,燃橙色,IP53,1.5K,26-49W,否,支持IPv6,OLED曲面屏,以官网信息为准,256GB,橙色系,,,是,是,2023-07-06,荣耀 X50,ALI-AN00,燃橙色,185g,宽75.5mm；长163.6mm；厚7.98mm,不支持,,,120Hz,6.78英寸,德国莱茵护眼；高频PWM调光,不支持,,35W,Android,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,不支持,双卡双待,2个,Type-C,屏幕指纹,800万像素,无,无,无,100057978010,100057978010,0,1700+,5万+,0,5,5万+,0,8000+,0,0,0,100+,0,100+,0.96,96,144,100+,0,0.015,2,2,100+,0,0,0.025,2,4
https://item.jd.com/100081598036.html,100081598036,荣耀X50i+ 一亿像素超清记录 零风险调光OLED护眼屏 20GB(12+8)等效运存 12GB+256GB 云水蓝 5G,京东手机运营商自营旗舰店,1194.0,荣耀（HONOR）,荣耀X50i+,100081598036,天玑6080,12GB,云水蓝,不支持防水,FHD+,26-49W,,,OLED直屏,1亿像素,256GB,,,,,,2023-11-10,荣耀 X50i+,LLY-AN00,云水蓝,166g,宽74.55mm；长161.05mm；厚6.78mm,,12GB,256GB,90Hz,6.7英寸,,不支持,4500mAh(typ),35W,Android,支持5G,4G TD-LTE；4G FDD-LTE,Nano SIM,,双卡双待,2个,Type-C,,800万像素,,无,无,100081598036,100081598036,0,100+,5000+,0,5,5000+,0,600+,0,0,0,10,0,10+,0.94,94,141,10+,0,0.034,3,5,10+,0,0,0.026,3,4
https://item.jd.com/100074814731.html,100074814731,荣耀X50i+ 一亿像素超清记录 零风险调光OLED护眼屏 20GB(12+8)等效运存 12GB+256GB 幻夜黑 5G,京东手机自营旗舰店,1195.0,荣耀（HONOR）,荣耀X50i+,100074814731,天玑6080,12GB,幻夜黑,不支持防水,FHD+,26-49W,,,OLED直屏,1亿像素,256GB,,,,,,,荣耀 X50i+,LLY-AN00,幻夜黑,166g,宽74.55mm；长161.05mm；厚6.78mm,,,,,6.7英寸,,不支持,4500mAh(typ),35W,Android,支持5G,4G TD-LTE；4G FDD-LTE,,,双卡双待,2个,,,800万像素,,无,无,100074814731,100074814731,0,200+,1万+,0,5,1万+,0,1600+,0,0,0,20+,0,10+,0.95,95,142,30+,0,0.019,2,3,40+,0,0,0.031,3,5
https://item.jd.com/10079848719766.html,10079848719766,荣耀X50 5G手机 雨后初晴 8GB+128GB,京联通达旗舰店,1269.0,荣耀（HONOR）,荣耀（HONOR）X50,10079848719766,第一代骁龙6,8GB,雨后初晴,IP53,1.5K,26-49W,否,支持IPv6,OLED曲面屏,以官网信息为准,128GB,,简约风,,是,是,2023-07-05,荣耀 X50,ALI-AN00,雨后初晴,185g,宽75.5mm；长163.6mm；厚7.98mm,不支持,8GB,128GB,120Hz,6.78英寸,德国莱茵护眼；高频PWM调光,不支持,5800mAh(typ),35W,Android,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,不支持,双卡双待,2个,Type-C,屏幕指纹,800万像素,前置双摄；蔡司影像,无,无,10079848719766,10079848719766,0,700+,2万+,0,5,1万+,0,2300+,0,0,0,40+,0,40+,0.97,97,145,20+,0,0.008,1,1,50+,0,0,0.022,2,4
https://item.jd.com/100077475818.html,100077475818,荣耀X50i+ 一亿像素超清记录  12GB+256GB 全网通版M 幻夜黑,中国移动手机京东自营官方旗舰店,1599.0,荣耀（HONOR）,荣耀X50i+,100077475818,天玑6080,12GB,幻夜黑,,,26-49W,,,,,256GB,黑色系,,,,,,荣耀 X50i+,,幻夜黑,,,,,,,,,,,,Android,支持5G,4G FDD-LTE；4G TD-LTE,Nano SIM,,双卡双待,2个,Type-C,侧面指纹；人脸识别,,,,,100077475818,100077475818,0,100+,5000+,0,5,5000+,0,800+,0,0,0,20+,0,10+,0.95,95,142,10,0,0.011,1,2,30+,0,0,0.039,4,6
https://item.jd.com/10094514630781.html,10094514630781,"爱心东东	
荣耀x50gt X50GT新品5G手机  荣耀X40GT升级版 幻夜黑 12GB+256GB【享90天碎屏保】",荣耀亲选专卖店,1999.0,荣耀（HONOR）,荣耀（HONOR）X50 GT,10094514630781,第一代骁龙8+,12GB,幻夜黑,不支持防水,FHD+,26-49W,,,OLED曲面屏,1亿像素,256GB,,,轻薄，大底主摄,是,是,,荣耀 X50 GT,ALP-AN00,幻夜黑,,宽75.5mm；长163.6mm；厚7.98mm,不支持,,,120Hz,6.78英寸,,不支持,5800mAh(typ),35W,Android,支持5G,4G FDD-LTE,Nano SIM,,双卡双待,2个,Type-C,屏幕指纹；人脸识别,800万像素,,无,无,10094514630781,10094514630781,0,200+,2000+,0,5,1000+,0,600+,0,0,0,10,0,6,0.97,97,145,5,0,0.008,1,1,10+,0,0,0.022,2,4
