skuid,comment_id,score,content,creationTime,img_urls,productColor,buyCount,location,nickname,referenceTime,referenceName
100054315584,20661161351,1,玩个游戏都发烫 真一般,2024-04-05 19:02:05,[],玄黑,1,广东,u***5,2024-03-19 18:54:50,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20363594056,1,手机玩不了王者荣耀 用来干什么,2024-01-15 06:47:33,[],山海青,1,海外,j***i,2024-01-13 10:59:28,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20144037942,1,服务态度非常差非常没有保障，垃圾太垃圾,2023-11-15 22:22:14,"['//img30.360buyimg.com/n0/s128x96_jfs/t1/91533/27/44402/63008/6554d415F014be6c4/65708e5539da7e0d.jpg', '//img30.360buyimg.com/n0/s128x96_jfs/t1/189627/12/40223/238769/6554d416Ff8851f02/f910233c887e0d82.jpg']",玄黑,1,上海,f***i,2023-11-12 23:59:35,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20748464515,1,手感极差，容易发烫，耗电快，两年前买的都比这个耗电慢,2024-04-29 16:47:30,[],山海青,1,广西,j***7,2024-04-27 19:09:29,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20786855669,1,单扬声器音质太差了，非常不好，听音乐刷视频，真的难受死，曲屏也不好,2024-05-10 13:43:56,[],山海青,1,河南,c***8,2024-05-07 13:48:57,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20852268676,1,购买需谨慎。 一摔屏幕就碎。家里有小孩的 手机容易掉地上的人 千万别买。屏幕是凸上来的，所以很容易摔碎。用别的vivo手机我都用五年，六年的。这部刚买了不到一个月就摔了七零八碎。想要耐摔的千万不要购买。贴着防摔膜也没用。良心评价,2024-05-26 19:39:10,[],山海青,3,福建,j***r,2024-05-08 13:25:31,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20755078966,1,以旧换新：那就是骗局大家千万不要上当，给你估价六百，然后检测完就给你二百，**,2024-05-01 15:08:37,[],山海青,1,辽宁,j***g,2024-04-27 10:21:37,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20777735205,1,这是一个坑，谁买谁后悔！在京东购物太危险了！买给家人带，等了好几天给人送过去，现在才几天手机发热发烫，电量掉得#！！！不玩游戏，单纯刷十几分钟视频，一天充两三次电！这是所谓的***新手机！！退都不让退！！,2024-05-07 23:02:34,[],山海青,2,海南,j***e,2024-04-25 23:30:10,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20712155889,1,手机续航很差。还#机。~有未接电话没接。后面任何操作都操作不了。其实电话已经挂断了。但他一直显示还在通话中，操作不了,2024-04-19 20:34:53,[],山海青,1,浙江,j***T,2024-03-18 13:08:04,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
100054315584,20630528622,1,手机整体是很不错的，但是vivo产品力大不如前了，开关和音量键特别松，来回晃动幅度大，这应该是模具设计如此，塑料边框，虽然我买的时候已经便宜了，但这是上市3500价位段的手机，做工不如三年前vivos9，曲面边缘侧面看微微发绿，这应该是国产曲面屏通病，但不影响屏幕整体显示优秀，写轮眼勿入，总体符合预期，完全没有超预期的感受，摄影颜值满分,2024-03-28 11:39:08,[],山海青,1,陕西,j***y,2024-03-22 09:32:07,vivo手机 S17Pro 12GB+512GB山海青 前置5000万广角柔光 专业长焦人像镜头 天玑8200旗舰芯片 5G快充拍照手机
